person_id,second_pass,evidence
p115,2004-2008,"GREE Inc. founded Dec. 2004 (Wikipedia, https://en.wikipedia.org/wiki/GREE,_Inc.: 'Dec. 2004: Established GREE, Inc.'), giving a below-bar lower bound (a pre-existence company has $0 revenue). Earliest disclosed annual revenue found is fiscal year ended June 2008: JPY 2,937,480,000 (IRBank financial history table for ticker 3632, https://irbank.net/3632/results: '2008/06 29億3748万'). 2008 rev10 bar per src.cpi is $6,687,612 nominal. Converting at an approx. USD/JPY rate of ~103-110 (2008 calendar-year average was approximately 103 yen/dollar per widely published FX history; I could not reach a citable historical-FX page directly due to bot-blocking, so this rate is stated as general knowledge, not a fetched source) gives roughly $26.7-28.5 million, about 4x the threshold, so FY2008 is comfortably above bar under any plausible rate in that range. No revenue data earlier than FY2008/06 was found (IRBank's table begins there), so the true first-crossing year could be earlier (2005-2007) but is not sourced. Bounded range 2004 (founding, below bar) - 2008 (first sourced figure, above bar), span 4 years, within the 10-year limit."
p120,unknown,"Muyuan founder Qin Yinglin began pig farming in 1992 (zh.wikipedia.org/wiki/%E7%A7%A6%E8%8B%B1%E6%9E%97: '1993年6月22日，秦英林买回22头猪，开始了他的养猪生涯' / started raising pigs 1992-93); the operating company Muyuan Farming was formally registered 2000-07-13 (zh.wikipedia.org/wiki/%E7%89%A7%E5%8E%9F%E9%9B%86%E5%9B%A2: '2000年7月13日成立的生猪饲养企业'). No revenue figure with a year is available between founding/registration and the earliest one I could source, which is 2018: RMB 13.388 billion (zh.wikipedia.org/wiki/%E7%89%A7%E5%8E%9F%E9%9B%86%E5%9B%A2: '2018年全年销售生猪1101万头，实现营业收入133.88亿元'). The Wikipedia bio also notes 'annual pig sales exceeding 1 million head' by 2013 but gives no revenue figure for that year. English Wikipedia (Muyuan_Foods) and the company's own site gave no early-year revenue data; the 2014 Shenzhen IPO prospectus (audit period typically only the 3 immediately preceding fiscal years) was not accessible to me. Since 2000 (or 1992) to the nearest dated, sourced above-bar figure (2013 or 2018) spans well over 10 years, and I found no closer sourced figure, the gap exceeds the 10-year cap. Per the rules this must be recorded as unknown rather than stretched."
p122,unknown,"Zhu Gongshan founded Xiexin Group in Hong Kong in 1990, and in 1996 formed Xinhaokang Xiexin Thermal Power Co. with a shipping partner (zh.wikipedia.org/wiki/%E6%9C%B1%E5%85%B1%E5%B1%B1: '1990: 在香港創立协鑫集团' and '1996: 創辦公司和新海康航業組成新海康协鑫热电有限公司'), which appears to be the entity behind the roster's 'Taicang Poly Xiexin Thermal Power.' No revenue or dollar figure for this entity, dated to any year, could be found. English Wikipedia has no article at Zhu_Gongshan or GCL_Technology (both 404). His Forbes profile (forbes.com/profile/zhu-gongshan/) covers current net worth and board roles only, with 'no details about early career history, founding of Taicang Poly Xiexin Thermal Power, or specific revenue figures.' GCL's own corporate history pages (gcl-poly.com.hk, gcl.com.cn) were unreachable (connection refused). HKEXnews title search for the plausible listing vehicle returned no filings for my guessed stock code. With founding in 1990/1996 and no dated revenue figure of any kind located, I cannot bound a crossing within 10 years, so the honest answer is unknown rather than a guess."
p123,2012-2018,"Austin Russell founded Luminar in 2012 (Wikipedia, https://en.wikipedia.org/wiki/Luminar_Technologies: 'Austin Russell, a 2013 Thiel Fellow, founded Luminar in California in 2012, at the age of 17'), giving a below-bar lower bound. SEC Form S-4/A for the Gores Metropoulos/Luminar merger (filed 2020-10-19, https://www.sec.gov/Archives/edgar/data/1758057/000119312520271565/d48607ds4a.htm) discloses 'Year Ended December 31, 2019 2018 ... Total 12,602 100% 11,692 100%' (RMB in thousands is wrong currency label here -- these are USD thousands per the filing), i.e. FY2018 total revenue = $11.692 million and FY2019 = $12.602 million. 2018 rev10 bar per src.cpi is $7,799,735 nominal; $11.692M clears it. No earlier (2017 or before) revenue figure was located in this filing, the subsequent 10-K (filed 2021-04-14, lazr-20201231.htm), or the merger press release (Exhibit 99.1, same filing), and Wikipedia notes Luminar 'spent its first five years in stealth mode' (2012-2017) without a revenue number. Bounded range: 2012 (founding, below bar) - 2018 (first sourced above-bar figure), span 6 years, within the 10-year limit."
p124,1991-2001,"Mindray was founded in 1991 in Shenzhen (Wikipedia, https://en.wikipedia.org/wiki/Mindray: 'Mindray was founded in 1991 in Shenzhen, Guangdong by seven former employees of Anke'), giving a below-bar lower bound. Mindray's SEC Form F-1 IPO prospectus (filed 2006-09-06, https://www.sec.gov/Archives/edgar/data/1373060/000114554906001273/h00529fv1.htm), 'Selected Consolidated Financial Information,' states: 'For the Year Ended December 31, 2001 2002 2003 2004 2005 ... Net revenues 201,798 306,592 460,254 697,837 1,078,573' (RMB thousands), i.e. FY2001 net revenues = RMB 201.798 million. Converting at the RMB/USD peg rate in effect throughout 2001 (RMB 8.2765 = US$1, the fixed rate maintained by the People's Bank of China from 1997 to July 2005 -- I could not reach a specific citable FX-history page due to bot-blocking on macrotrends.net, so this peg value is stated as well-documented general knowledge rather than a fetched source) gives approximately $24.4 million. 2001 rev10 bar per src.cpi is $5,500,974 nominal; $24.4M clears it by roughly 4.4x. FY2001 is the earliest year with any disclosed revenue in this filing (the prospectus states 1996-2000 balance-sheet/statement data was not derived from data available to me in the fetched excerpt, and no earlier figure was found). Bounded range: 1991 (founding, below bar) - 2001 (first sourced above-bar figure), span exactly 10 years, at the maximum permitted width."
p125,1997,"American Pharmaceutical Partners, Inc. was incorporated in California on March 26, 1996 (SEC Form S-1, filed 2001-10-03, https://www.sec.gov/Archives/edgar/data/1141399/000089843001502716/ds1.txt: 'We were incorporated in March 1996 by our parent company, American BioScience, Inc.'). The same S-1's 'Selected Consolidated Financial Data' table gives audited net sales by year: 'Period Ended December 31, 1996(1) 1997 1998(2) ... Net sales... $272 $7,574 $66,501 $136,523 $165,373' (in thousands), i.e. 1996 = $272,000, 1997 = $7,574,000, 1998 = $66,501,000. 1996 rev10 bar per src.cpi is $4,873,534 nominal -- $272K is far below it. 1997 rev10 bar per src.cpi is $4,985,355 nominal -- $7,574,000 clears it. Because 1996 is sourced below-bar and the very next year, 1997, is sourced above-bar, the crossing is pinned to a single year: 1997, basis primary, no range needed."
p127,2023,"Claudia Goldin's Nobel Memorial Prize in Economic Sciences was announced on October 9, 2023 (Wikipedia, https://en.wikipedia.org/wiki/Claudia_Goldin: 'In October 2023, she was awarded the Nobel Memorial Prize in Economic Sciences,' citing Reuters, Johnson & Ahlander, 'Nobel economics prize goes to Claudia Goldin,' October 9, 2023). Per frame.md the anchor is the announcement year, not a later ceremony or the prize's designated year, both of which are also 2023 for this laureate, so there is no discrepancy to resolve here."
p129,2018,"Caucher Birkar's Fields Medal was announced/awarded on August 1, 2018, at the opening of the International Congress of Mathematicians (ICM) in Rio de Janeiro (Wikipedia, https://en.wikipedia.org/wiki/Caucher_Birkar: announcement date August 1, 2018). Unlike the Nobel Prizes, the Fields Medal has no separate advance 'announcement' distinct from the award ceremony -- both occur at the same ICM opening-ceremony event, so announcement year = 2018. (Note: his medal was stolen the same day and a replacement was presented at a later ceremony during the same ICM, but that replacement-presentation event is still within ICM 2018 and does not change the year.)"
p133,2018,"Domee Shi directed the Pixar short Bao, which premiered at the Tribeca Film Festival on April 21, 2018, and then had its wide theatrical release paired with every North American screening of Incredibles 2 starting June 15, 2018 (Wikipedia, https://en.wikipedia.org/wiki/Bao_(film)). Incredibles 2's opening weekend alone grossed $182.7 million domestically (Wikipedia, https://en.wikipedia.org/wiki/Incredibles_2: 'It went on to debut to $182.7 million, the eighth-best opening of all time'), which at a typical 2018 US average ticket price of roughly $9 implies on the order of 20 million theater admissions in the US in the first three days alone -- since Bao played before every one of those screenings, its audience (counted here as theatrical viewers who saw the short attached to Incredibles 2, i.e. estimated from box-office admissions) crossed 1,000,000 within its opening weekend, in 2018. Wikipedia separately notes Pixar also streamed Bao free on YouTube for a week before Christmas 2018, adding further audience the same year. I found no earlier Domee Shi directorial work with any audience data; her prior credits (Inside Out, The Good Dinosaur) were as story artist, not her own directed work."
p134,1959-1969,"Robert Kuok established Malaysian Sugar Manufacturing Company (MSM) in 1959 (Wikipedia, PPB Group, https://en.wikipedia.org/wiki/PPB_Group: 'The company also established Malaysian Sugar Manufacturing Company (MSM), a sugar refiner, in 1959'), giving a below-bar lower bound (revenue is $0 before the entity exists). The same article states: 'By the end of the 1960s, through PPB, MSM and its sugar commodities trading business, Kuok Brothers was said to control more than 10 percent of the world's sugar suppl[y].' This is a qualitative scale claim, not a dollar figure (per frame.md's allowance for qualitative upper bounds). The 1969 rev10 bar per src.cpi is only $1,139,953 nominal -- an operation controlling over 10% of world sugar supply (world sugar output was tens of millions of tonnes annually in this period) would necessarily have had revenue many multiples of that trivial threshold, so the claim is sufficient to place the crossing at or before the end of the 1960s. No more precise dated figure (e.g., for 1960-1968) was found in the sources checked (Wikipedia articles for Robert Kuok and PPB Group; no company-specific 1960s financial disclosure exists for this private Malaysian entity as far as I could locate). Bounded range: 1959 (founding) - 1969 (qualitative claim of massive scale), span exactly 10 years, at the maximum permitted width."
