person_id,name,proposed_a2_date,proposed_a2_src,proposed_a2_conf,evidence
p50,Hemant Taneja,1999,http://hdl.handle.net/1721.1/80131,high,"Last credential: MIT S.B. and M.Eng. (Electrical Engineering and Computer Science), 1999. MIT's own institutional repository (DSpace@MIT) catalogues his thesis 'A tactical planning model for a semiconductor waver [sic] fabrication facility', author 'Taneja, Hemant, 1975-', with dc.date.issued '1999' and the degree note quoted exactly: 'Thesis (S.B. and M.Eng.)--Massachusetts Institute of Technology, Dept. of Electrical Engineering and Computer Science, 1999.' Handle: http://hdl.handle.net/1721.1/80131 . A search of DSpace@MIT for all authors named Taneja returns no other thesis by Hemant Taneja, so 1999 is the latest MIT degree year on record. Corroboration that MIT was his terminal institution and that the M.Eng was among his final degrees: his own General Catalyst bio, https://www.generalcatalyst.com/team/hemant-taneja , states 'I ... hold five degrees from MIT: M.Eng. EECS, S.M. Operations Research, S.B. Biology, S.B. Mathematics, and S.B. EECS.' English Wikipedia (https://en.wikipedia.org/wiki/Hemant_Taneja) likewise says 'He earned three undergraduate and two graduate degrees from MIT.' No source places any MIT degree after 1999."
p51,Aileen Lee,1997,https://en.wikipedia.org/wiki/Aileen_Lee,high,"Last credential: MBA, Harvard Business School, 1997. English Wikipedia's Aileen Lee article states, quoted exactly: 'Lee earned her bachelor's degree from the MIT Sloan School of Management in 1992. After MIT, she worked as a financial analyst for two years at Morgan Stanley... She earned her MBA from Harvard Business School in 1997.' The MBA sentence is cited in the article to a published profile (ref name 'insiders'), and the article's infobox lists alma mater as 'Massachusetts Institute of Technology / Harvard Business School' with the Harvard Business School alumni category applied. The 1992 MIT Sloan bachelor's plus two years at Morgan Stanley is consistent with a 1995-1997 HBS MBA. No later credential of any kind is recorded; her career from 1997 is Gap Inc. then Kleiner Perkins then Cowboy Ventures. URL: https://en.wikipedia.org/wiki/Aileen_Lee"
p52,Kendrick Lamar,2005,https://en.wikipedia.org/wiki/Kendrick_Lamar,high,"Last credential COMPLETED: high school diploma, Centennial High School, Compton, California, 2005. He never completed any tertiary credential, so the high-school diploma is the a2 anchor under the dropout rule. English Wikipedia's Kendrick Lamar article states, quoted exactly: 'Lamar later attended Centennial High School... He graduated from high school in 2005 as a straight-A student.' (cited there to Joel 'Shake' Zela, HipHopDX, 31 December 2010). The same paragraph states, quoted exactly: 'He considered studying psychology and astronomy in college, but suspended his academic pursuits to focus on his music career' - i.e. no college credential was completed. He signed with Top Dawg Entertainment in 2005. URL: https://en.wikipedia.org/wiki/Kendrick_Lamar"
p54,Taika Waititi,1997,https://en.wikipedia.org/wiki/Taika_Waititi,high,"Last credential: Bachelor of Arts (theatre), Victoria University of Wellington, 1997. English Wikipedia's Taika Waititi article states, quoted exactly: 'He attended Onslow College, then studied theatre at Victoria University of Wellington where he graduated with a Bachelor of Arts in 1997.' The sentence is cited to Amanda Fisher, 'Victoria University honour for Taika Waititi', The Dominion Post / Stuff, 14 April 2011 (http://www.stuff.co.nz/dominion-post/news/4884800/Victoria-University-honour-for-Taika-Waititi ; archived at https://web.archive.org/web/20200126052721/http://www.stuff.co.nz/dominion-post/news/4884800/Victoria-University-honour-for-Taika-Waititi ). The article infobox records education as 'Victoria University of Wellington (BA)'. No later formal credential; subsequent honours are awards, not degrees. URL: https://en.wikipedia.org/wiki/Taika_Waititi"
p77,Luciana Lixandru,2007,https://www.trendingtopics.eu/romanian-born-investor-luciana-lixandru-leaves-accel-partners-to-run-sequoia-capital-in-europe/,medium,"Last credential: bachelor's degree (mathematics and economics), Georgetown University, Washington DC, 2007. Trending Topics (trendingtopics.eu), 'Romanian-born Investor Luciana Lixandru Leaves Accel Partners To Run Sequoia Capital In Europe', states, quoted exactly: 'Lixandru graduated from Georgetown University in Washington, US, in 2007, and joined Morgan Stanley as an analyst the same year. Two years later, she started working with Summit Partner as an Associate, to finally join Accel Partners in 2011.' Corroboration of the institution and subject from Sifted's profile 'Brunch with Luciana Lixandru, Sequoia's new European chief' (https://sifted.eu/articles/brunch-with-luciana-sequoia), quoted exactly: 'It was her own teacher who suggested Lixandru study in the US, eventually prompting her to study maths and economics at Georgetown University in Washington on a scholarship.' Confidence is medium, not high, because some contact-scraper aggregator pages (rocketreach, lessie.ai) additionally list a Stanford GSB MBA with no year; the Sifted profile describes her going straight from Georgetown into finance and never returning to graduate school, and no dated source supports a Stanford degree. If a Stanford MBA is later confirmed with a year, this anchor would move."
p79,Johan Brenner,unknown,,none,"Not recovered after two genuine attempts. Institution and degree are documented but no year is published anywhere reachable. Attempt 1 - NFX Signal investor profile (https://signal.nfx.com/investors/johan-brenner) lists, in its embedded profile data, 'Stockholm School of Economics' / 'Bachelor of Science - BS' / field of study 'International Business', plus a Stanford GSB 'SEP' (Stanford Executive Program, an executive course, not a degree); the page carries no start or end years for either. Attempt 2 - his own Creandum bio page (https://creandum.com/team/johan-brenner/) discusses his career in the first person ('When I graduated, I thought I should learn how to run a company first before becoming an entrepreneur. It made sense to me and I started to work for the Management at ABB...') but gives no graduation year, and a Swedish-language search for a Handelshogskolan i Stockholm graduation year returned nothing about this Johan Brenner. Recording unknown rather than inferring a year from his mid-1990s founding of Jobline."
p69,Terry Gou,1971,https://wiki.mbalib.com/zh-tw/%E9%83%AD%E5%8F%B0%E9%93%AD,medium,"Last credential: junior-college (五專) diploma in shipping management (航運管理科) from 中國海事專科學校 / China Maritime College, Taipei (today 台北海洋科技大學, Taipei University of Marine Technology), 1971. Chinese-language sources carry the year English ones omit. (1) MBAlib 智库百科, https://wiki.mbalib.com/zh-tw/%E9%83%AD%E5%8F%B0%E9%93%AD , quoted exactly: '郭台銘（Terry Gou）：鴻海精密集團董事長郭台銘，1950年10月8日出生，祖籍山西省澤州縣南嶺鄉葛萬村人。1971臺灣“中國海專”畢業，進入當時中國臺灣省前三大船務公司復興航運工作；1974成立鴻海塑料企業有限公司'. (2) Newton 中文百科全書, https://www.newton.com.tw/wiki/%E9%83%AD%E5%8F%B0%E9%8A%98 , quoted exactly: '1966年郭台銘進入台灣“中國海事專科學校”學習，靠半工半讀完成學業。服完兵役後，郭台銘在復興航運公司當業務員。1971年，台灣“中國海專”畢業'; its infobox gives 畢業院校 (alma mater) as '台灣台北市中國海事專科學校'. (3) Chinese Wikipedia, https://zh.wikipedia.org/wiki/%E9%83%AD%E5%8F%B0%E9%8A%98 , independently sources the enrolment year — '1966年考進剛創校的中國海事專科學校' — and lists his education as 板橋國民學校 / 臺北縣立板橋中學 / 中國海事專科學校 航運管理科; a China Times report quoted in that article adds '民國五十四年畢業後再就讀中國海專' (finished the junior-high division in ROC year 54 = 1965, then entered China Maritime College). Enrolment in 1966 plus the standard five-year 五專 programme is consistent with the 1971 completion the two Chinese encyclopaedia sources state outright. English Wikipedia names the institution (Taipei University of Marine Technology, BS) but gives no year. Confidence medium rather than high because the two sources carrying the explicit 1971 are encyclopaedia-style aggregators, not a school register or contemporaneous news report."
p10,Zhang Yin,unknown,,none,"Not recovered after two genuine attempts; no year is published for any completed credential. Attempt 1 — English Wikipedia, https://en.wikipedia.org/wiki/Zhang_Yin_(entrepreneur) , states, quoted exactly: 'Because of her father's imprisonment, Zhang never went to college and began working at a young age to support her family' (cited to 'Blazing a Paper Trail in China', The New York Times, 16 January 2007), and 'After working as a bookkeeper in a Guangdong textile factory and attending trade school for accounting, Yin moved to Shenzhen to manage the accounting and trading departments of a paper trading company'. The article's alma_mater infobox field is empty, the trade-school attendance carries no year, and no source states that a diploma was awarded. Attempt 2 — Chinese-language sources: there is no zh.wikipedia article at 張茵 with content, and Chinese biographical write-ups place her taking up accounting study only after her father's political rehabilitation ('1982年，父亲平反，张茵终于有机会攻读她喜爱的财会专业'), which gives a start point but no completion year and no named credential. Recording unknown rather than inferring a year from the 1982 start or from her 1985 move into the paper trade."
p34,Youssou N'Dour,unknown,,none,"Not recovered after two genuine attempts; sources establish that he left school early but name no completed credential and no year. Attempt 1 — English Wikipedia, https://en.wikipedia.org/wiki/Youssou_N%27Dour , has no education section, no alma mater and no schooling year; the only degree it records is an honorary doctorate in music from Yale in 2011, which is not formal education. Attempt 2 — French Wikipedia, https://fr.wikipedia.org/wiki/Youssou_N%27Dour , which for Francophone West African subjects normally carries schooling detail, states only, quoted exactly: 'Il commence adolescent à chanter dans les fêtes de famille en quittant l'école sans aller au lycée' — he began singing at family gatherings as a teenager, leaving school without going on to lycée. No source names a primary-school certificate (CFEE), a BEPC, or any other completed credential, and none gives a year. Recording unknown rather than inferring a school-leaving year from his 1976 debut with Étoile de Dakar."
p40,Olugbenga Agboola,unknown,,none,"Not recovered after two genuine attempts; the institutions are documented but no source gives a year for any degree, and the sources contradict each other on which degrees exist. Attempt 1 — English Wikipedia, https://en.wikipedia.org/wiki/Olugbenga_Agboola , infobox education 'University of Westminster, Massachusetts Institute of Technology'; body text, quoted exactly: 'Born in Lagos, Agboola is a graduate of the MBA program at MIT Sloan School of Management' (cited to CNBC Disruptor 50, 25 May 2021) — no year. The same article carries a conflicting claim sourced to Business Insider Africa: 'He holds a degree in Electrical Engineering from Obafemi Awolowo University in Nigeria and an MBA from the University of Oxford's Said Business School.' Attempt 2 — MIT Sloan Africa Business Club speaker page, https://mit-africa.com/olugbenga-agboola/ , says only 'GB's well-rounded background includes the Massachusetts Institute of Technology, the Wharton School of Management and the University of Westminster' — three institutions, no degrees, no years. A third check, Nairametrics, '5 things you should know about Flutterwave founder Olugbenga Agboola', https://nairametrics.com/2023/03/10/5-things-you-should-know-about-flutterwave-founder-olugbenga-agboola/ , states 'At Cambridge's Massachusetts Institute of Technology (MIT) Sloan School of Management, he earned a master's degree in business administration' and 'he graduated with a degree in Advanced Computing and Project Management from the University of Westminster in London, UK', but dates only short executive-education courses (November 2012, April 2013, November 2014), never the degrees. Recording unknown rather than inferring an MBA year."
